,1m,2f,3f,5m,6f,7m,8f,9f,10m,11m,12m,16m,17f,18f,19m,20f,21m,22f,23f,24f,25m,27f
1m,0,10,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2f,10,0,0,0,1,0,0,0,0,0,0,1,0,164,0,0,0,0,0,0,0,0
3f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5m,1,0,0,0,0,0,0,2,0,1,0,0,0,116,0,1,0,0,0,0,0,0
6f,2,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
7m,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0
8f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9f,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10m,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,3,0,0,0,0,1,0
11m,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12m,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
16m,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
17f,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,189,0,0,0,0,0,0
18f,1,164,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
19m,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
20f,0,0,0,1,0,0,0,0,3,0,0,0,189,0,1,0,0,0,0,0,0,0
21m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22f,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25m,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
27f,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
